Name,FireDragonCrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,C:\Users\Are-Laptop\Documents\Skole\Bachelor\TC3\TestLogs\Scope Project.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starttime of export,1.33873E+17,mandag 24. mars 2025,53:07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endtime of export,1.33873E+17,mandag 24. mars 2025,53:11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Main Pa DCV,Main Pa Cyl,Main Pb DCV,Ps,Main X Ref,Main Piston Position,Main X Dot Ref,Main Piston Velocity,Main Flow A,Main Flow B,Main FF,Main PID,Main U,Main Error,Jib Pa Cyl,Jib Pa DCV,Jib Pb Cyl,Jib Pb DCV,Jib X Ref,Jib Piston Position,Jib X Dot Ref,Jib Velocity,Jib Flow A,Jib Flow B,Jib FF,Jib PID,Jib Error,Jib U,Winch Pa,Winch Pb,Winch Distance,Joystick Extrude,Joystick Jib,Joystick Main,Joystick Rotation,Joystick Winch
550,0.08678832,49.60756014,0.290680911,147.7127995,0.491339991,0.491339991,0,0,0,0,0,0,0,0,59.9021058,63.24473422,74.63989373,63.31241137,0.505877576,0.505877576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,0.087090568,49.6069785,0.290563087,147.7139019,0.491339294,0.491339294,0,0,0,0,0,0,0,0,59.90279514,63.24481737,74.64110533,63.31207687,0.505876978,0.505876978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,0.087311296,49.60607844,0.290417072,147.7146002,0.49133823,0.49133823,0,0,0,0,0,0,0,0,59.90337082,63.24451446,74.64262312,63.31141705,0.505876918,0.505876918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,0.087408685,49.60484362,0.290197754,147.714542,0.491336835,0.491336835,0,0,0,0,0,0,0,0,59.90369611,63.24419835,74.64422112,63.31031884,0.505875611,0.505875611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,0.087393308,49.60374238,0.290057093,147.714614,0.491335694,0.491335694,0,0,0,0,0,0,0,0,59.90393653,63.24430519,74.6458859,63.30901832,0.50587586,0.50587586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0.087323441,49.60271902,0.289988653,147.7149006,0.491334653,0.491334653,0,0,0,0,0,0,0,0,59.90433966,63.2446042,74.64755675,63.3080687,0.505874206,0.505874206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,0.087204199,49.60124053,0.289986288,147.7149963,0.491333705,0.491333705,0,0,0,0,0,0,0,0,59.90484124,63.24478798,74.64927475,63.30749076,0.50587367,0.50587367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,0.087040443,49.59940138,0.289947749,147.7148693,0.491332985,0.491332985,0,0,0,0,0,0,0,0,59.90528597,63.24486603,74.65088432,63.30701278,0.505871942,0.505871942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0.086933158,49.59753004,0.289828211,147.7147327,0.491332337,0.491332337,0,0,0,0,0,0,0,0,59.9053398,63.2451366,74.652196,63.30686873,0.505870873,0.505870873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,0.086877752,49.59554038,0.289635343,147.714588,0.491331895,0.491331895,0,0,0,0,0,0,0,0,59.90503724,63.24562971,74.65347202,63.30707771,0.505870092,0.505870092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,0.086725254,49.59364353,0.289328229,147.7139062,0.491331505,0.491331505,0,0,0,0,0,0,0,0,59.90470032,63.24598629,74.65466233,63.30736654,0.50586863,0.50586863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,0.086484893,49.59227246,0.288918233,147.712786,0.491331163,0.491331163,0,0,0,0,0,0,0,0,59.90433342,63.24607248,74.65519153,63.30734146,0.50586908,0.50586908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,0.086213619,49.59153046,0.288464308,147.7116564,0.491331005,0.491331005,0,0,0,0,0,0,0,0,59.90389246,63.24610474,74.65506808,63.3074642,0.505867478,0.505867478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,0.086108021,49.59107539,0.288020344,147.7109081,0.49133129,0.49133129,0,0,0,0,0,0,0,0,59.90324119,63.24579857,74.65463963,63.30810667,0.505867175,0.505867175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,0.086105601,49.5905944,0.287539014,147.7105585,0.491331839,0.491331839,0,0,0,0,0,0,0,0,59.90240085,63.24523346,74.65412773,63.30854545,0.505865684,0.505865684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0.086149008,49.58970615,0.287073732,147.7098987,0.491332352,0.491332352,0,0,0,0,0,0,0,0,59.90158435,63.24429005,74.6536864,63.30879692,0.505865014,0.505865014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,0.086233999,49.58854672,0.286576717,147.7091999,0.491332555,0.491332555,0,0,0,0,0,0,0,0,59.90074459,63.24319847,74.65335931,63.30911769,0.505864462,0.505864462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,0.086404736,49.58743394,0.286052749,147.7086129,0.491332338,0.491332338,0,0,0,0,0,0,0,0,59.89983876,63.24240993,74.65313759,63.30935576,0.505864178,0.505864178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0.086701118,49.58641624,0.285554485,147.7079856,0.491331738,0.491331738,0,0,0,0,0,0,0,0,59.89897269,63.24180421,74.65267541,63.30946934,0.50586493,0.50586493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,0.087062618,49.58548921,0.285226187,147.7075648,0.491331204,0.491331204,0,0,0,0,0,0,0,0,59.89814628,63.24127109,74.65214053,63.30922808,0.505864884,0.505864884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0.087433829,49.58474482,0.285005856,147.7071895,0.491330871,0.491330871,0,0,0,0,0,0,0,0,59.8977448,63.24080622,74.65211985,63.30851989,0.505866323,0.505866323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,0.087716039,49.58378425,0.284884767,147.7070979,0.491330859,0.491330859,0,0,0,0,0,0,0,0,59.89773208,63.24064633,74.65266414,63.30791917,0.505866741,0.505866741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,0.088012426,49.58311243,0.284758195,147.7070725,0.491330865,0.491330865,0,0,0,0,0,0,0,0,59.89768808,63.24081315,74.65357647,63.30732236,0.505868753,0.505868753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,0.088175982,49.5829473,0.284578933,147.7069147,0.491330887,0.491330887,0,0,0,0,0,0,0,0,59.89790491,63.24132518,74.65462776,63.30629774,0.505868892,0.505868892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,0.088169671,49.58276259,0.284400563,147.706685,0.491331198,0.491331198,0,0,0,0,0,0,0,0,59.89855132,63.24152322,74.65565694,63.30508013,0.505869695,0.505869695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0.088201385,49.58231978,0.284175519,147.7061981,0.491331635,0.491331635,0,0,0,0,0,0,0,0,59.89900826,63.24162715,74.65680649,63.30393245,0.50587094,0.50587094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,0.088267618,49.58149898,0.283908835,147.7053823,0.491332184,0.491332184,0,0,0,0,0,0,0,0,59.89929076,63.24198229,74.6578684,63.30294941,0.505871478,0.505871478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,0.088268658,49.58067437,0.283653458,147.7044627,0.491333108,0.491333108,0,0,0,0,0,0,0,0,59.89989515,63.24232393,74.65855711,63.30192748,0.505873266,0.505873266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,0.088113905,49.58028328,0.283409391,147.7036452,0.49133437,0.49133437,0,0,0,0,0,0,0,0,59.90059765,63.2428929,74.65924042,63.30106693,0.505873657,0.505873657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0.087817816,49.57995139,0.283272978,147.7032128,0.491335523,0.491335523,0,0,0,0,0,0,0,0,59.90076027,63.24342579,74.65972333,63.30021224,0.505875776,0.505875776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,0.087586888,49.57962654,0.283235192,147.7030368,0.491336296,0.491336296,0,0,0,0,0,0,0,0,59.90100866,63.243249,74.66016632,63.29941445,0.505876459,0.505876459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0.087319859,49.57911663,0.283287418,147.7030469,0.491337134,0.491337134,0,0,0,0,0,0,0,0,59.90147879,63.24247447,74.66071577,63.29896082,0.505878043,0.505878043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,0.086972796,49.57839192,0.283325066,147.7031301,0.491337889,0.491337889,0,0,0,0,0,0,0,0,59.90190814,63.24188128,74.66121548,63.29838881,0.505879336,0.505879336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0.086795147,49.57776351,0.283349283,147.7034724,0.49133829,0.49133829,0,0,0,0,0,0,0,0,59.90273237,63.24174481,74.66186065,63.29737386,0.50588099,0.50588099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,0.086772559,49.57741809,0.283361167,147.7041457,0.491338644,0.491338644,0,0,0,0,0,0,0,0,59.9035758,63.24168766,74.66278041,63.29624848,0.505883757,0.505883757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,0.086698571,49.57709094,0.283361766,147.7049253,0.491338677,0.491338677,0,0,0,0,0,0,0,0,59.90457796,63.24175121,74.66356117,63.29502694,0.505885631,0.505885631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,0.086481657,49.57649254,0.283303889,147.7058467,0.491338417,0.491338417,0,0,0,0,0,0,0,0,59.9056244,63.24202087,74.6642122,63.29391537,0.505888264,0.505888264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,0.086183566,49.57574576,0.283144766,147.7066047,0.491338168,0.491338168,0,0,0,0,0,0,0,0,59.90622514,63.24233267,74.66488704,63.29242646,0.505889682,0.505889682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,0.085957267,49.57496311,0.282894023,147.7068733,0.491337653,0.491337653,0,0,0,0,0,0,0,0,59.90685114,63.24258526,74.66529175,63.29040684,0.505891883,0.505891883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
